repetition,k_3_l2,k_3_success,k_3_factor,k_3_gw,k_6_l2,k_6_success,k_6_factor,k_6_gw,k_8_l2,k_8_success,k_8_factor,k_8_gw,k_11_l2,k_11_success,k_11_factor,k_11_gw,k_13_l2,k_13_success,k_13_factor,k_13_gw,k_16_l2,k_16_success,k_16_factor,k_16_gw,k_18_l2,k_18_success,k_18_factor,k_18_gw,k_21_l2,k_21_success,k_21_factor,k_21_gw,k_23_l2,k_23_success,k_23_factor,k_23_gw,k_26_l2,k_26_success,k_26_factor,k_26_gw,k_28_l2,k_28_success,k_28_factor,k_28_gw,k_31_l2,k_31_success,k_31_factor,k_31_gw,k_33_l2,k_33_success,k_33_factor,k_33_gw,k_36_l2,k_36_success,k_36_factor,k_36_gw,k_38_l2,k_38_success,k_38_factor,k_38_gw,k_41_l2,k_41_success,k_41_factor,k_41_gw,k_43_l2,k_43_success,k_43_factor,k_43_gw,k_46_l2,k_46_success,k_46_factor,k_46_gw,k_48_l2,k_48_success,k_48_factor,k_48_gw,k_51_l2,k_51_success,k_51_factor,k_51_gw
0,0.041267259819863594,True,0.17647058823529413,,0.008252823150226813,True,0.35294117647058826,,0.0032011281241617895,True,0.47058823529411764,,0.0011285573439883754,True,0.6470588235294118,,0.0006717251525493475,True,0.7647058823529411,,0.0003835307791601722,True,0.9411764705882353,,0.0002901781605449972,True,1.0588235294117647,,0.0002314459004187869,True,1.2352941176470589,,0.00024242198412996924,True,1.3529411764705883,,0.0002709358486168999,True,1.5294117647058822,,0.00028675427511953063,True,1.6470588235294117,,0.0003146663231192057,True,1.8235294117647058,,0.00032329242237937614,True,1.9411764705882353,,0.0003610212583913748,True,2.1176470588235294,,0.00038135664755656096,True,2.235294117647059,,0.00041512934666617697,True,2.411764705882353,,0.00042057773659062595,True,2.5294117647058822,,0.0004601881856147888,True,2.7058823529411766,,0.0004836917846499526,True,2.823529411764706,,0.0005157676144235192,True,3.0,
1,0.0298403182111136,True,0.17647058823529413,,0.007974576847357764,True,0.35294117647058826,,0.0029398463665759353,True,0.47058823529411764,,0.0009631436263804927,True,0.6470588235294118,,0.0005417235196758493,True,0.7647058823529411,,0.00026776418437725433,True,0.9411764705882353,,0.00021771729897498981,True,1.0588235294117647,,0.00017078336527066753,True,1.2352941176470589,,0.00021203425657543478,True,1.3529411764705883,,0.00023000713577587054,True,1.5294117647058822,,0.0002474781195956178,True,1.6470588235294117,,0.00026638941978471444,True,1.8235294117647058,,0.0002942728797125107,True,1.9411764705882353,,0.00034800924937881527,True,2.1176470588235294,,0.0003506113883702741,True,2.235294117647059,,0.00039438718751032465,True,2.411764705882353,,0.00041990751486214366,True,2.5294117647058822,,0.000455313305255942,True,2.7058823529411766,,0.0004878238132332262,True,2.823529411764706,,0.0005254071050800663,True,3.0,
2,0.04123765325076151,True,0.17647058823529413,,0.00854482909324544,True,0.35294117647058826,,0.003321939551111592,True,0.47058823529411764,,0.0011830249318925364,True,0.6470588235294118,,0.000698396424752285,True,0.7647058823529411,,0.0003643878094119272,True,0.9411764705882353,,0.00025857516490031675,True,1.0588235294117647,,0.00018756050665291328,True,1.2352941176470589,,0.00019471235048430097,True,1.3529411764705883,,0.00022432253561737678,True,1.5294117647058822,,0.0002281017383443337,True,1.6470588235294117,,0.00023516464683635366,True,1.8235294117647058,,0.00025386116259784716,True,1.9411764705882353,,0.00027764310094958896,True,2.1176470588235294,,0.00027814037843688504,True,2.235294117647059,,0.0003045280293749548,True,2.411764705882353,,0.00033627342176951964,True,2.5294117647058822,,0.00035904246055540903,True,2.7058823529411766,,0.0003756128843106427,True,2.823529411764706,,0.00042885202045050475,True,3.0,
3,0.04124567580943118,True,0.17647058823529413,,0.008389176310964024,True,0.35294117647058826,,0.0032230223725644453,True,0.47058823529411764,,0.0011358168500508299,True,0.6470588235294118,,0.0006569419455018983,True,0.7647058823529411,,0.00033259220765863014,True,0.9411764705882353,,0.00016208191280327503,True,1.0588235294117647,,0.00020646381141437733,True,1.2352941176470589,,0.00017904281498755723,True,1.3529411764705883,,0.0001851991733771055,True,1.5294117647058822,,0.00018667563143738542,True,1.6470588235294117,,0.00019367808342509536,True,1.8235294117647058,,0.00020493891817959702,True,1.9411764705882353,,0.00022791073550221147,True,2.1176470588235294,,0.00024079434512885173,True,2.235294117647059,,0.00027185259111305244,True,2.411764705882353,,0.0002846062411932387,True,2.5294117647058822,,0.0003292269852424155,True,2.7058823529411766,,0.0003376614749915486,True,2.823529411764706,,0.0004003806464519891,True,3.0,
4,0.04123218351525069,True,0.17647058823529413,,0.00806647656545528,True,0.35294117647058826,,0.0029949321892359347,True,0.47058823529411764,,0.0010033018009165963,True,0.6470588235294118,,0.0005170852338801928,True,0.7647058823529411,,0.00022929235107831738,True,0.9411764705882353,,0.000148962649280451,True,1.0588235294117647,,8.647411315351236e-05,True,1.2352941176470589,,0.00011446132046349301,True,1.3529411764705883,,0.0001257236047743637,True,1.5294117647058822,,0.00013116426863170826,True,1.6470588235294117,,0.0001464021295639386,True,1.8235294117647058,,0.00016617564154004558,True,1.9411764705882353,,0.00019499403811283473,True,2.1176470588235294,,0.00021156772750969378,True,2.235294117647059,,0.0002300831669768238,True,2.411764705882353,,0.0002485265318533473,True,2.5294117647058822,,0.00028116313586337325,True,2.7058823529411766,,0.0002999362896592574,True,2.823529411764706,,0.0003215898643811057,True,3.0,
5,0.041256480767689604,True,0.17647058823529413,,0.008042810634767372,True,0.35294117647058826,,0.0030839564977189534,True,0.47058823529411764,,0.0010813686762419956,True,0.6470588235294118,,0.0006218561476504814,True,0.7647058823529411,,0.00032011276112503046,True,0.9411764705882353,,0.00021929856644960105,True,1.0588235294117647,,0.00016093707247777166,True,1.2352941176470589,,0.00019341559766038538,True,1.3529411764705883,,0.0001938092876397494,True,1.5294117647058822,,0.0001989418875931593,True,1.6470588235294117,,0.00021485360209753097,True,1.8235294117647058,,0.00022701265741813823,True,1.9411764705882353,,0.00025588747865790167,True,2.1176470588235294,,0.0002550508641209976,True,2.235294117647059,,0.000281113092645868,True,2.411764705882353,,0.00029914990052680045,True,2.5294117647058822,,0.00031358421217269575,True,2.7058823529411766,,0.00034035246928841557,True,2.823529411764706,,0.0003710570037353186,True,3.0,
6,0.029626994584985595,True,0.17647058823529413,,0.007732961548579213,True,0.35294117647058826,,0.002830740858546601,True,0.47058823529411764,,0.0008713909972507538,True,0.6470588235294118,,0.0004555336391042969,True,0.7647058823529411,,0.00020344876991272066,True,0.9411764705882353,,0.0001286298435134174,True,1.0588235294117647,,9.139042026012313e-05,True,1.2352941176470589,,0.0001262911647472597,True,1.3529411764705883,,0.00013894403129139393,True,1.5294117647058822,,0.00015343327347661187,True,1.6470588235294117,,0.00017558130949339116,True,1.8235294117647058,,0.00018402392149486903,True,1.9411764705882353,,0.0002316510176244187,True,2.1176470588235294,,0.0002485119071075202,True,2.235294117647059,,0.0002637511283531094,True,2.411764705882353,,0.0002876112213826672,True,2.5294117647058822,,0.00033065133906040595,True,2.7058823529411766,,0.0003402472272212403,True,2.823529411764706,,0.000382176339892824,True,3.0,
7,0.04134628954796466,True,0.17647058823529413,,0.00835175958845154,True,0.35294117647058826,,0.0015908722790933813,True,0.47058823529411764,,0.0012110168263641222,True,0.6470588235294118,,0.0007246900255785825,True,0.7647058823529411,,0.0004426962450411945,True,0.9411764705882353,,0.0003533194697918038,True,1.0588235294117647,,0.0002850063873470298,True,1.2352941176470589,,0.0002809290799165783,True,1.3529411764705883,,0.0003114778067614139,True,1.5294117647058822,,0.0003235483911793684,True,1.6470588235294117,,0.0003410456355717916,True,1.8235294117647058,,0.00035081448444078454,True,1.9411764705882353,,0.0003676344075329142,True,2.1176470588235294,,0.00039545216712809193,True,2.235294117647059,,0.00041460202603900057,True,2.411764705882353,,0.0004441242380449006,True,2.5294117647058822,,0.00045869306789160264,True,2.7058823529411766,,0.0004896413827166669,True,2.823529411764706,,0.0005186565649811461,True,3.0,
8,0.04125347100286682,True,0.17647058823529413,,0.008181043631829399,True,0.35294117647058826,,0.0031159901562438377,True,0.47058823529411764,,0.0010274139810420072,True,0.6470588235294118,,0.0005679157312084781,True,0.7647058823529411,,0.00027524825952764267,True,0.9411764705882353,,0.00019161174933543927,True,1.0588235294117647,,0.00013406206344297465,True,1.2352941176470589,,0.00016350594867443947,True,1.3529411764705883,,0.00015866377961549016,True,1.5294117647058822,,0.00018368633863274849,True,1.6470588235294117,,0.00020616280014468165,True,1.8235294117647058,,0.00021994648610082926,True,1.9411764705882353,,0.0002504349336971342,True,2.1176470588235294,,0.00026158782331181,True,2.235294117647059,,0.00028473256016541806,True,2.411764705882353,,0.0003148386810699714,True,2.5294117647058822,,0.00034004187618832027,True,2.7058823529411766,,0.0003591086127430867,True,2.823529411764706,,0.0004130800082047924,True,3.0,
9,0.029556129648108446,True,0.17647058823529413,,0.007554690252911518,True,0.35294117647058826,,0.001224376379609838,True,0.47058823529411764,,0.0008546233575296087,True,0.6470588235294118,,0.000455085279438885,True,0.7647058823529411,,0.00022053272719897878,True,0.9411764705882353,,0.0001513497888609421,True,1.0588235294117647,,0.00016121693767309476,True,1.2352941176470589,,0.00014884408911595314,True,1.3529411764705883,,0.00018578353059679975,True,1.5294117647058822,,0.0001990707335581124,True,1.6470588235294117,,0.00023420752584298504,True,1.8235294117647058,,0.000246418930853814,True,1.9411764705882353,,0.00028012898096976564,True,2.1176470588235294,,0.00029280133507061235,True,2.235294117647059,,0.0003229604597886944,True,2.411764705882353,,0.00035143020064289945,True,2.5294117647058822,,0.0003851919588529648,True,2.7058823529411766,,0.00040405892262789325,True,2.823529411764706,,0.00045258765539643077,True,3.0,
