repetition,k_3_l2,k_3_success,k_3_factor,k_3_gw,k_6_l2,k_6_success,k_6_factor,k_6_gw,k_8_l2,k_8_success,k_8_factor,k_8_gw,k_11_l2,k_11_success,k_11_factor,k_11_gw,k_13_l2,k_13_success,k_13_factor,k_13_gw,k_16_l2,k_16_success,k_16_factor,k_16_gw,k_18_l2,k_18_success,k_18_factor,k_18_gw,k_21_l2,k_21_success,k_21_factor,k_21_gw,k_23_l2,k_23_success,k_23_factor,k_23_gw,k_26_l2,k_26_success,k_26_factor,k_26_gw,k_28_l2,k_28_success,k_28_factor,k_28_gw,k_31_l2,k_31_success,k_31_factor,k_31_gw,k_33_l2,k_33_success,k_33_factor,k_33_gw,k_36_l2,k_36_success,k_36_factor,k_36_gw,k_38_l2,k_38_success,k_38_factor,k_38_gw,k_41_l2,k_41_success,k_41_factor,k_41_gw,k_43_l2,k_43_success,k_43_factor,k_43_gw,k_46_l2,k_46_success,k_46_factor,k_46_gw,k_48_l2,k_48_success,k_48_factor,k_48_gw,k_51_l2,k_51_success,k_51_factor,k_51_gw
0,0.006537531087343502,True,0.17647058823529413,,0.0011329235208449358,True,0.35294117647058826,,0.0007052618049085182,True,0.47058823529411764,,0.0008488893936132584,True,0.6470588235294118,,0.0007904053362040266,True,0.7647058823529411,,0.000978041720547647,True,0.9411764705882353,,0.0010702593663451082,True,1.0588235294117647,,0.0012432916511770351,True,1.2352941176470589,,0.0014219848893561424,True,1.3529411764705883,,0.0014143683015905432,True,1.5294117647058822,,0.0014789937656486164,True,1.6470588235294117,,0.001587903561273893,True,1.8235294117647058,,0.001685534794496614,True,1.9411764705882353,,0.001764969663014755,True,2.1176470588235294,,0.001773175180018817,True,2.235294117647059,,0.0020143393552204216,True,2.411764705882353,,0.0022520275104724154,True,2.5294117647058822,,0.0020840079898926493,True,2.7058823529411766,,0.00236233994073575,True,2.823529411764706,,0.002494024830090167,True,3.0,
1,0.006533678071635893,True,0.17647058823529413,,0.0010945844170108501,True,0.35294117647058826,,0.0006925596665850395,True,0.47058823529411764,,0.0006775151928797042,True,0.6470588235294118,,0.0010184064710129896,True,0.7647058823529411,,0.000982788963428852,True,0.9411764705882353,,0.001285657558963168,True,1.0588235294117647,,0.0013228654280572332,True,1.2352941176470589,,0.0014292247984736836,True,1.3529411764705883,,0.0014790458919023656,True,1.5294117647058822,,0.0015772216980579632,True,1.6470588235294117,,0.0016285494219780107,True,1.8235294117647058,,0.0017351115158267792,True,1.9411764705882353,,0.001806639312217493,True,2.1176470588235294,,0.0021547493542553686,True,2.235294117647059,,0.0022982365018844927,True,2.411764705882353,,0.0022811189594416684,True,2.5294117647058822,,0.002258010408442837,True,2.7058823529411766,,0.002211573784980263,True,2.823529411764706,,0.002362596593834209,True,3.0,
2,0.0065370428300695945,True,0.17647058823529413,,0.0011208406238825885,True,0.35294117647058826,,0.0007371464654631436,True,0.47058823529411764,,0.000905495741278903,True,0.6470588235294118,,0.0008360109017184082,True,0.7647058823529411,,0.0012490391650215428,True,0.9411764705882353,,0.0011802473020871339,True,1.0588235294117647,,0.001337973353653229,True,1.2352941176470589,,0.0014657524486668063,True,1.3529411764705883,,0.0015700330343961133,True,1.5294117647058822,,0.001631616564026027,True,1.6470588235294117,,0.001686707053633223,True,1.8235294117647058,,0.0017431984199229702,True,1.9411764705882353,,0.0019881944686254154,True,2.1176470588235294,,0.0020303937447142093,True,2.235294117647059,,0.002004410060597097,True,2.411764705882353,,0.0020818401440798173,True,2.5294117647058822,,0.002179096447190214,True,2.7058823529411766,,0.00261137326430704,True,2.823529411764706,,0.002519089082799789,True,3.0,
3,0.006537906706091369,True,0.17647058823529413,,0.0011138485026645085,True,0.35294117647058826,,0.0007254099400206297,True,0.47058823529411764,,0.0008986035604768753,True,0.6470588235294118,,0.0008191157370302594,True,0.7647058823529411,,0.0010103958581918193,True,0.9411764705882353,,0.0011402427846352449,True,1.0588235294117647,,0.0013354264472713656,True,1.2352941176470589,,0.001448098922118514,True,1.3529411764705883,,0.0015989565992729187,True,1.5294117647058822,,0.0016722166433387955,True,1.6470588235294117,,0.0016675705699069762,True,1.8235294117647058,,0.0017868803481254614,True,1.9411764705882353,,0.0018649252199595956,True,2.1176470588235294,,0.00195089990767828,True,2.235294117647059,,0.0022411319056515827,True,2.411764705882353,,0.0021606362893360613,True,2.5294117647058822,,0.0023641461356641563,True,2.7058823529411766,,0.002382760580632981,True,2.823529411764706,,0.002460848241526645,True,3.0,
4,0.006533257777476066,True,0.17647058823529413,,0.003172720797816092,True,0.35294117647058826,,0.0011351598925949257,True,0.47058823529411764,,0.0008789408853888416,True,0.6470588235294118,,0.0008367056652129839,True,0.7647058823529411,,0.0012302740158746882,True,0.9411764705882353,,0.0012899318223746083,True,1.0588235294117647,,0.0013404090008618083,True,1.2352941176470589,,0.0014165272803187401,True,1.3529411764705883,,0.0016052434724620763,True,1.5294117647058822,,0.0016571380374697604,True,1.6470588235294117,,0.0017450137932162938,True,1.8235294117647058,,0.00183513964334951,True,1.9411764705882353,,0.0018571375093590667,True,2.1176470588235294,,0.0018887998699121573,True,2.235294117647059,,0.0021049075566757537,True,2.411764705882353,,0.002079439205338573,True,2.5294117647058822,,0.002380507715464832,True,2.7058823529411766,,0.0022576537501775465,True,2.823529411764706,,0.002445650378094777,True,3.0,
5,0.0065461010057932525,True,0.17647058823529413,,0.0010870581993569902,True,0.35294117647058826,,0.0007124809762507336,True,0.47058823529411764,,0.0008962857570950811,True,0.6470588235294118,,0.0008231227136530679,True,0.7647058823529411,,0.001003169865422683,True,0.9411764705882353,,0.0014261049311092187,True,1.0588235294117647,,0.0013557907449648935,True,1.2352941176470589,,0.001522302749948961,True,1.3529411764705883,,0.0015279594467448373,True,1.5294117647058822,,0.0015979094411439536,True,1.6470588235294117,,0.0016717318968401489,True,1.8235294117647058,,0.0017728304425953959,True,1.9411764705882353,,0.0018552423918194276,True,2.1176470588235294,,0.0020407045790933076,True,2.235294117647059,,0.0022034146056697707,True,2.411764705882353,,0.0023101601917375116,True,2.5294117647058822,,0.002196306740820632,True,2.7058823529411766,,0.00258616124700734,True,2.823529411764706,,0.002569578048041496,True,3.0,
6,0.006531731420140892,True,0.17647058823529413,,0.0010957484726216572,True,0.35294117647058826,,0.0006709129407833775,True,0.47058823529411764,,0.0007927276086616043,True,0.6470588235294118,,0.0007363772359046058,True,0.7647058823529411,,0.0009094571791168466,True,0.9411764705882353,,0.0011765551496723784,True,1.0588235294117647,,0.0012112467458675912,True,1.2352941176470589,,0.0013390506694614184,True,1.3529411764705883,,0.0014226261249314293,True,1.5294117647058822,,0.0014952853093991587,True,1.6470588235294117,,0.001528207012045169,True,1.8235294117647058,,0.001528697860997143,True,1.9411764705882353,,0.0016642204340726009,True,2.1176470588235294,,0.0016588782658514387,True,2.235294117647059,,0.001861141439780129,True,2.411764705882353,,0.0020701004654169247,True,2.5294117647058822,,0.0021034592539077458,True,2.7058823529411766,,0.002085068779669838,True,2.823529411764706,,0.0024814407985823917,True,3.0,
7,0.0065359240603071935,True,0.17647058823529413,,0.0032038638479822785,True,0.35294117647058826,,0.0007091397680542565,True,0.47058823529411764,,0.0008259377574727708,True,0.6470588235294118,,0.0007739687528661645,True,0.7647058823529411,,0.0011320284795823942,True,0.9411764705882353,,0.0010371794634375993,True,1.0588235294117647,,0.0013128819290966567,True,1.2352941176470589,,0.0013975874908339929,True,1.3529411764705883,,0.0013821180531879559,True,1.5294117647058822,,0.0014530902727422404,True,1.6470588235294117,,0.0015450919327454845,True,1.8235294117647058,,0.0015885024181447962,True,1.9411764705882353,,0.0018356901991461467,True,2.1176470588235294,,0.001727049191671008,True,2.235294117647059,,0.0018954689041709401,True,2.411764705882353,,0.002010127509565279,True,2.5294117647058822,,0.0019813496767458537,True,2.7058823529411766,,0.002195294282535588,True,2.823529411764706,,0.0024503448725980014,True,3.0,
8,0.006539647504496936,True,0.17647058823529413,,0.0010681813318817296,True,0.35294117647058826,,0.0007119090589703721,True,0.47058823529411764,,0.0008958071065511426,True,0.6470588235294118,,0.0008250596114791731,True,0.7647058823529411,,0.001011640722032993,True,0.9411764705882353,,0.0011476084259059065,True,1.0588235294117647,,0.0013339324662551431,True,1.2352941176470589,,0.0015468761422122855,True,1.3529411764705883,,0.001532672835115844,True,1.5294117647058822,,0.0016896056199569387,True,1.6470588235294117,,0.0017773681627566468,True,1.8235294117647058,,0.0017473174707193857,True,1.9411764705882353,,0.0020151102408271313,True,2.1176470588235294,,0.0019331784841955918,True,2.235294117647059,,0.002139045464765855,True,2.411764705882353,,0.0022227287750306805,True,2.5294117647058822,,0.0024242984655977063,True,2.7058823529411766,,0.0023634592647384994,True,2.823529411764706,,0.0023503955882923995,True,3.0,
9,0.006537113084487493,True,0.17647058823529413,,0.0011137888502883364,True,0.35294117647058826,,0.0007406553406381417,True,0.47058823529411764,,0.0009322687752334864,True,0.6470588235294118,,0.000862695005812608,True,0.7647058823529411,,0.0012886564602886904,True,0.9411764705882353,,0.001434012203430921,True,1.0588235294117647,,0.0014921288581375629,True,1.2352941176470589,,0.0015066691490262791,True,1.3529411764705883,,0.0016495572227490881,True,1.5294117647058822,,0.0016369142608019893,True,1.6470588235294117,,0.0017053356419914746,True,1.8235294117647058,,0.001849185721346733,True,1.9411764705882353,,0.0018101029127559679,True,2.1176470588235294,,0.0019494887245732242,True,2.235294117647059,,0.002199736378522491,True,2.411764705882353,,0.002287111414959412,True,2.5294117647058822,,0.0022109836553578363,True,2.7058823529411766,,0.002334084971619945,True,2.823529411764706,,0.0025902563453188516,True,3.0,
