repetition,k_3_l2,k_3_success,k_3_factor,k_3_gw,k_6_l2,k_6_success,k_6_factor,k_6_gw,k_8_l2,k_8_success,k_8_factor,k_8_gw,k_11_l2,k_11_success,k_11_factor,k_11_gw,k_13_l2,k_13_success,k_13_factor,k_13_gw,k_16_l2,k_16_success,k_16_factor,k_16_gw,k_18_l2,k_18_success,k_18_factor,k_18_gw,k_21_l2,k_21_success,k_21_factor,k_21_gw,k_23_l2,k_23_success,k_23_factor,k_23_gw,k_26_l2,k_26_success,k_26_factor,k_26_gw,k_28_l2,k_28_success,k_28_factor,k_28_gw,k_31_l2,k_31_success,k_31_factor,k_31_gw,k_33_l2,k_33_success,k_33_factor,k_33_gw,k_36_l2,k_36_success,k_36_factor,k_36_gw,k_38_l2,k_38_success,k_38_factor,k_38_gw,k_41_l2,k_41_success,k_41_factor,k_41_gw,k_43_l2,k_43_success,k_43_factor,k_43_gw,k_46_l2,k_46_success,k_46_factor,k_46_gw,k_48_l2,k_48_success,k_48_factor,k_48_gw,k_51_l2,k_51_success,k_51_factor,k_51_gw
0,0.05544264759448109,True,0.17647058823529413,,0.04779534531203711,True,0.35294117647058826,,0.04334405173050025,True,0.47058823529411764,,0.0432760113189289,True,0.6470588235294118,,0.043039515183106974,True,0.7647058823529411,,0.042912734480643595,True,0.9411764705882353,,0.042916729068887494,True,1.0588235294117647,,0.042933635697572706,True,1.2352941176470589,,0.04299169184126986,True,1.3529411764705883,,0.043066327375774205,True,1.5294117647058822,,0.043091108786086976,True,1.6470588235294117,,0.04314502477680941,True,1.8235294117647058,,0.04318251967841316,True,1.9411764705882353,,0.04325761903201137,True,2.1176470588235294,,0.043331308950471416,True,2.235294117647059,,0.0433785771707487,True,2.411764705882353,,0.04345260750882926,True,2.5294117647058822,,0.04358800405049576,True,2.7058823529411766,,0.04349309766866539,True,2.823529411764706,,0.04403352066075867,True,3.0,
1,0.05544996902324936,True,0.17647058823529413,,0.04760200537107375,True,0.35294117647058826,,0.04435645683905677,True,0.47058823529411764,,0.04322476937890799,True,0.6470588235294118,,0.042887304997607394,True,0.7647058823529411,,0.042963831925598356,True,0.9411764705882353,,0.042975223821593855,True,1.0588235294117647,,0.043044371452836586,True,1.2352941176470589,,0.04314648963705393,True,1.3529411764705883,,0.04320122298966765,True,1.5294117647058822,,0.0432510724889639,True,1.6470588235294117,,0.04332961459698842,True,1.8235294117647058,,0.04337506540963912,True,1.9411764705882353,,0.043423232291843084,True,2.1176470588235294,,0.04347110748071684,True,2.235294117647059,,0.04402249306746266,True,2.411764705882353,,0.04360367759772412,True,2.5294117647058822,,0.0436793977645107,True,2.7058823529411766,,0.04370990501079327,True,2.823529411764706,,0.043946631988464685,True,3.0,
2,0.055451942706429135,True,0.17647058823529413,,0.04486102258723063,True,0.35294117647058826,,0.04447490957325986,True,0.47058823529411764,,0.04286143304525958,True,0.6470588235294118,,0.043008729324182544,True,0.7647058823529411,,0.0428783944069992,True,0.9411764705882353,,0.042872542550335964,True,1.0588235294117647,,0.042916565780645524,True,1.2352941176470589,,0.04295219662748252,True,1.3529411764705883,,0.04304081576222155,True,1.5294117647058822,,0.04307757445730607,True,1.6470588235294117,,0.04314032136044212,True,1.8235294117647058,,0.0431819800559648,True,1.9411764705882353,,0.04324931388173693,True,2.1176470588235294,,0.04332707712372198,True,2.235294117647059,,0.043390649668430474,True,2.411764705882353,,0.043474585699613946,True,2.5294117647058822,,0.04359800759717766,True,2.7058823529411766,,0.04364052902894796,True,2.823529411764706,,0.043677591369101154,True,3.0,
3,0.05543694683988211,True,0.17647058823529413,,0.0477656444261669,True,0.35294117647058826,,0.04339024216416222,True,0.47058823529411764,,0.04331835415366516,True,0.6470588235294118,,0.043121773272536676,True,0.7647058823529411,,0.04294841924865451,True,0.9411764705882353,,0.043008116187817184,True,1.0588235294117647,,0.04301957309881276,True,1.2352941176470589,,0.043056279018276924,True,1.3529411764705883,,0.043133306222315516,True,1.5294117647058822,,0.0431571487905375,True,1.6470588235294117,,0.04322648550468505,True,1.8235294117647058,,0.04326234557747567,True,1.9411764705882353,,0.043354344899856005,True,2.1176470588235294,,0.04334786533883099,True,2.235294117647059,,0.04360614446855252,True,2.411764705882353,,0.04370141351901002,True,2.5294117647058822,,0.04368460056903047,True,2.7058823529411766,,0.043926238011609955,True,2.823529411764706,,0.043638153800866664,True,3.0,
4,0.055484946628288595,True,0.17647058823529413,,0.04772965002828602,True,0.35294117647058826,,0.04440391909441249,True,0.47058823529411764,,0.04322523778318082,True,0.6470588235294118,,0.04302999618866716,True,0.7647058823529411,,0.0429223189923845,True,0.9411764705882353,,0.042928899111753495,True,1.0588235294117647,,0.04300443015011148,True,1.2352941176470589,,0.043056443309672246,True,1.3529411764705883,,0.04318204329662202,True,1.5294117647058822,,0.043242617771547254,True,1.6470588235294117,,0.04329697449194984,True,1.8235294117647058,,0.04333850923740617,True,1.9411764705882353,,0.04346786895254227,True,2.1176470588235294,,0.04348100129250558,True,2.235294117647059,,0.04367466693904877,True,2.411764705882353,,0.043657901674741165,True,2.5294117647058822,,0.043648461440115124,True,2.7058823529411766,,0.04373570012842123,True,2.823529411764706,,0.044142010818190136,True,3.0,
5,0.05543057177868812,True,0.17647058823529413,,0.04746174085043792,True,0.35294117647058826,,0.044224419749330134,True,0.47058823529411764,,0.04311156584393796,True,0.6470588235294118,,0.04289953835049904,True,0.7647058823529411,,0.04282209718259697,True,0.9411764705882353,,0.042838419039558255,True,1.0588235294117647,,0.04286957220759053,True,1.2352941176470589,,0.04294427376919864,True,1.3529411764705883,,0.043040067933103686,True,1.5294117647058822,,0.04305357843831383,True,1.6470588235294117,,0.04313431937918905,True,1.8235294117647058,,0.043183515483603815,True,1.9411764705882353,,0.04323927015312791,True,2.1176470588235294,,0.04329158300888428,True,2.235294117647059,,0.04334281373808238,True,2.411764705882353,,0.04337919843856271,True,2.5294117647058822,,0.043477291119080975,True,2.7058823529411766,,0.04351710627850668,True,2.823529411764706,,0.04365305647666804,True,3.0,
6,0.05543867273329948,True,0.17647058823529413,,0.0475501065448194,True,0.35294117647058826,,0.044387550680661116,True,0.47058823529411764,,0.04329285001419644,True,0.6470588235294118,,0.04309590273549647,True,0.7647058823529411,,0.043004775667870324,True,0.9411764705882353,,0.04300362181020651,True,1.0588235294117647,,0.043061887344007586,True,1.2352941176470589,,0.04310468412649636,True,1.3529411764705883,,0.04322733349186115,True,1.5294117647058822,,0.04324833908835528,True,1.6470588235294117,,0.04330973423439566,True,1.8235294117647058,,0.04335586396801979,True,1.9411764705882353,,0.04341725993341614,True,2.1176470588235294,,0.04346301258044934,True,2.235294117647059,,0.043599242159866006,True,2.411764705882353,,0.0436052020083461,True,2.5294117647058822,,0.04386110715029146,True,2.7058823529411766,,0.043656452172138746,True,2.823529411764706,,0.04385027538717143,True,3.0,
7,0.055466444056994746,True,0.17647058823529413,,0.044884674724205924,True,0.35294117647058826,,0.043312960473661594,True,0.47058823529411764,,0.04322085689946116,True,0.6470588235294118,,0.04296909700350474,True,0.7647058823529411,,0.04284296882041844,True,0.9411764705882353,,0.042819589985563414,True,1.0588235294117647,,0.042837994413277736,True,1.2352941176470589,,0.042922387606351746,True,1.3529411764705883,,0.04301939836314884,True,1.5294117647058822,,0.043042025569984876,True,1.6470588235294117,,0.04307967524476797,True,1.8235294117647058,,0.04313161912837733,True,1.9411764705882353,,0.043164781889138686,True,2.1176470588235294,,0.04332272952575423,True,2.235294117647059,,0.04329819437948264,True,2.411764705882353,,0.04329486026905263,True,2.5294117647058822,,0.04369369467006579,True,2.7058823529411766,,0.043594450813164036,True,2.823529411764706,,0.04368900646197747,True,3.0,
8,0.055422369959238875,True,0.17647058823529413,,0.04737088483655957,True,0.35294117647058826,,0.04428007223679869,True,0.47058823529411764,,0.04329279163520256,True,0.6470588235294118,,0.04297359968111789,True,0.7647058823529411,,0.04308151646337655,True,0.9411764705882353,,0.04309302422947539,True,1.0588235294117647,,0.04320102183235818,True,1.2352941176470589,,0.043268073291629135,True,1.3529411764705883,,0.043363817379099355,True,1.5294117647058822,,0.04343548784648746,True,1.6470588235294117,,0.0435297830255826,True,1.8235294117647058,,0.043559738500762425,True,1.9411764705882353,,0.04363872184760099,True,2.1176470588235294,,0.04384812787281535,True,2.235294117647059,,0.04386221368437099,True,2.411764705882353,,0.04380118371010416,True,2.5294117647058822,,0.043905377658563005,True,2.7058823529411766,,0.04393757936919359,True,2.823529411764706,,0.04405694862572548,True,3.0,
9,0.05549698646244725,True,0.17647058823529413,,0.04486316560865584,True,0.35294117647058826,,0.04448121382784698,True,0.47058823529411764,,0.043269396188723296,True,0.6470588235294118,,0.04303795309097005,True,0.7647058823529411,,0.04291220897034306,True,0.9411764705882353,,0.04289733292127005,True,1.0588235294117647,,0.042927552098132295,True,1.2352941176470589,,0.0429651260940354,True,1.3529411764705883,,0.043054973158926785,True,1.5294117647058822,,0.043075936494631616,True,1.6470588235294117,,0.04312092995518268,True,1.8235294117647058,,0.04316900612194342,True,1.9411764705882353,,0.04324816323574528,True,2.1176470588235294,,0.04330093317406265,True,2.235294117647059,,0.043366960068071225,True,2.411764705882353,,0.04335726277800737,True,2.5294117647058822,,0.043519537373375286,True,2.7058823529411766,,0.04378403518538624,True,2.823529411764706,,0.04354086001165341,True,3.0,
10,0.05544096020471572,True,0.17647058823529413,,0.04740310361574555,True,0.35294117647058826,,0.04424895028820681,True,0.47058823529411764,,0.04321721843164011,True,0.6470588235294118,,0.043043359528390425,True,0.7647058823529411,,0.0429783339645534,True,0.9411764705882353,,0.043006468394456425,True,1.0588235294117647,,0.043073408775604866,True,1.2352941176470589,,0.04313420540794942,True,1.3529411764705883,,0.04323470805874569,True,1.5294117647058822,,0.04327484559758964,True,1.6470588235294117,,0.04334425356988648,True,1.8235294117647058,,0.043438351674184514,True,1.9411764705882353,,0.04343080434048944,True,2.1176470588235294,,0.04349356711589648,True,2.235294117647059,,0.043535452243464404,True,2.411764705882353,,0.043588411817269024,True,2.5294117647058822,,0.04366067014881693,True,2.7058823529411766,,0.04367701666964249,True,2.823529411764706,,0.04403902900321902,True,3.0,
11,0.05547410525651909,True,0.17647058823529413,,0.04783723164198748,True,0.35294117647058826,,0.044454840615829085,True,0.47058823529411764,,0.04323864259686778,True,0.6470588235294118,,0.04301711217940127,True,0.7647058823529411,,0.04290697857345987,True,0.9411764705882353,,0.04288722390027795,True,1.0588235294117647,,0.04293592776628756,True,1.2352941176470589,,0.043006490112510974,True,1.3529411764705883,,0.04310389605652537,True,1.5294117647058822,,0.04315665465923967,True,1.6470588235294117,,0.04321804157559853,True,1.8235294117647058,,0.04325706223523816,True,1.9411764705882353,,0.043320715061461165,True,2.1176470588235294,,0.043492521874902525,True,2.235294117647059,,0.043442497160700116,True,2.411764705882353,,0.043500236166856054,True,2.5294117647058822,,0.04362239617272835,True,2.7058823529411766,,0.04407342970533053,True,2.823529411764706,,0.04371964743585761,True,3.0,
12,0.055441870951839334,True,0.17647058823529413,,0.0448050275807648,True,0.35294117647058826,,0.04331225156431435,True,0.47058823529411764,,0.04322655372591897,True,0.6470588235294118,,0.04301254331352791,True,0.7647058823529411,,0.042893363826816557,True,0.9411764705882353,,0.042871305766681495,True,1.0588235294117647,,0.04291860135420245,True,1.2352941176470589,,0.042988947131768186,True,1.3529411764705883,,0.04305695803082851,True,1.5294117647058822,,0.043058832586585764,True,1.6470588235294117,,0.04310869231026586,True,1.8235294117647058,,0.04319799815017695,True,1.9411764705882353,,0.04319682886965604,True,2.1176470588235294,,0.043247453172906035,True,2.235294117647059,,0.04371289548008837,True,2.411764705882353,,0.04339571046837722,True,2.5294117647058822,,0.04360630763605892,True,2.7058823529411766,,0.04341873979113868,True,2.823529411764706,,0.04356536566654338,True,3.0,
13,0.05544284171449913,True,0.17647058823529413,,0.0449762232287181,True,0.35294117647058826,,0.0434436698657695,True,0.47058823529411764,,0.04334977533111783,True,0.6470588235294118,,0.04287400621643879,True,0.7647058823529411,,0.042964427075376184,True,0.9411764705882353,,0.04294316329111329,True,1.0588235294117647,,0.042961235469545014,True,1.2352941176470589,,0.04299385843683123,True,1.3529411764705883,,0.043053549463715014,True,1.5294117647058822,,0.043094822431649846,True,1.6470588235294117,,0.04317128298266303,True,1.8235294117647058,,0.04322090580571117,True,1.9411764705882353,,0.04322816490271513,True,2.1176470588235294,,0.043394184587361016,True,2.235294117647059,,0.04339000138116235,True,2.411764705882353,,0.04344227681507631,True,2.5294117647058822,,0.04347586130995988,True,2.7058823529411766,,0.04355047303568577,True,2.823529411764706,,0.04369468595852868,True,3.0,
