repetition,k_3_l2,k_3_success,k_3_factor,k_3_gw,k_6_l2,k_6_success,k_6_factor,k_6_gw,k_8_l2,k_8_success,k_8_factor,k_8_gw,k_11_l2,k_11_success,k_11_factor,k_11_gw,k_13_l2,k_13_success,k_13_factor,k_13_gw,k_16_l2,k_16_success,k_16_factor,k_16_gw,k_18_l2,k_18_success,k_18_factor,k_18_gw,k_21_l2,k_21_success,k_21_factor,k_21_gw,k_23_l2,k_23_success,k_23_factor,k_23_gw,k_26_l2,k_26_success,k_26_factor,k_26_gw,k_28_l2,k_28_success,k_28_factor,k_28_gw,k_31_l2,k_31_success,k_31_factor,k_31_gw,k_33_l2,k_33_success,k_33_factor,k_33_gw,k_36_l2,k_36_success,k_36_factor,k_36_gw,k_38_l2,k_38_success,k_38_factor,k_38_gw,k_41_l2,k_41_success,k_41_factor,k_41_gw,k_43_l2,k_43_success,k_43_factor,k_43_gw,k_46_l2,k_46_success,k_46_factor,k_46_gw,k_48_l2,k_48_success,k_48_factor,k_48_gw,k_51_l2,k_51_success,k_51_factor,k_51_gw
0,0.026648758668118756,True,0.17647058823529413,,0.0030943738732869624,True,0.35294117647058826,,0.0025654493349955986,True,0.47058823529411764,,0.0007878938050682691,True,0.6470588235294118,,0.000430228519191932,True,0.7647058823529411,,0.00021719379685987048,True,0.9411764705882353,,0.00010992388112055155,True,1.0588235294117647,,0.00012694870179511976,True,1.2352941176470589,,0.00013091943097064373,True,1.3529411764705883,,0.00015574736385509514,True,1.5294117647058822,,0.0001729996517223079,True,1.6470588235294117,,0.00020390912687259262,True,1.8235294117647058,,0.00021975008605933463,True,1.9411764705882353,,0.00024544177453486566,True,2.1176470588235294,,0.0002654295148724368,True,2.235294117647059,,0.0002936492263804755,True,2.411764705882353,,0.00031234007763455106,True,2.5294117647058822,,0.0003438383458093041,True,2.7058823529411766,,0.0003713176053673583,True,2.823529411764706,,0.00043227514375022047,True,3.0,
1,0.027811719128514354,True,0.17647058823529413,,0.003581851049296734,True,0.35294117647058826,,0.00299768680069788,True,0.47058823529411764,,0.0010938341181193174,True,0.6470588235294118,,0.0006561920789067463,True,0.7647058823529411,,0.00038091178677083793,True,0.9411764705882353,,0.0003104165074432177,True,1.0588235294117647,,0.0002588064874189197,True,1.2352941176470589,,0.0002582275002730609,True,1.3529411764705883,,0.0002882776984307737,True,1.5294117647058822,,0.00030591792714690006,True,1.6470588235294117,,0.00031624629907593205,True,1.8235294117647058,,0.00033982757213705573,True,1.9411764705882353,,0.00035534927265524357,True,2.1176470588235294,,0.0003808552902246059,True,2.235294117647059,,0.0004089064701128025,True,2.411764705882353,,0.0004256090158973577,True,2.5294117647058822,,0.0004623298863659783,True,2.7058823529411766,,0.00048455976412515374,True,2.823529411764706,,0.0005385633772894597,True,3.0,
2,0.03348716494248603,True,0.17647058823529413,,0.0033292547038577137,True,0.35294117647058826,,0.002804076489091963,True,0.47058823529411764,,0.0008793258226647867,True,0.6470588235294118,,0.0004881494466165128,True,0.7647058823529411,,0.0002177806470241966,True,0.9411764705882353,,0.00014201471898492028,True,1.0588235294117647,,0.00010728386290608233,True,1.2352941176470589,,0.00011557712643180741,True,1.3529411764705883,,0.000137317354613072,True,1.5294117647058822,,0.00015124888902588631,True,1.6470588235294117,,0.00017748077199579638,True,1.8235294117647058,,0.0001965183021189726,True,1.9411764705882353,,0.0002177432029110346,True,2.1176470588235294,,0.00023638186214246584,True,2.235294117647059,,0.00026642510182787777,True,2.411764705882353,,0.00028024559624334163,True,2.5294117647058822,,0.000325001398788997,True,2.7058823529411766,,0.0003498241643828517,True,2.823529411764706,,0.0003850985179225228,True,3.0,
3,0.026804676206469157,True,0.17647058823529413,,0.0033022749304095233,True,0.35294117647058826,,0.002786753171054911,True,0.47058823529411764,,0.000984122332250748,True,0.6470588235294118,,0.0005891147402763687,True,0.7647058823529411,,0.00034806939701698564,True,0.9411764705882353,,0.00021433348475540353,True,1.0588235294117647,,0.00023002566721390394,True,1.2352941176470589,,0.00023318485390521056,True,1.3529411764705883,,0.0002451219651013402,True,1.5294117647058822,,0.00025996224482872156,True,1.6470588235294117,,0.0002817394374412077,True,1.8235294117647058,,0.0003018012233068082,True,1.9411764705882353,,0.0003290938006571332,True,2.1176470588235294,,0.00035527143364735104,True,2.235294117647059,,0.00036648214029791907,True,2.411764705882353,,0.00040298843170360126,True,2.5294117647058822,,0.0004173622114418537,True,2.7058823529411766,,0.00045193815162915594,True,2.823529411764706,,0.00049600280623007,True,3.0,
4,0.02681044075884947,True,0.17647058823529413,,0.003397714726870619,True,0.35294117647058826,,0.002884035455659592,True,0.47058823529411764,,0.0010146761313032146,True,0.6470588235294118,,0.0005921222605866914,True,0.7647058823529411,,0.00032238346429422257,True,0.9411764705882353,,0.0001836366159481394,True,1.0588235294117647,,0.0001859636339348885,True,1.2352941176470589,,0.00018130660878016856,True,1.3529411764705883,,0.00020420401308556083,True,1.5294117647058822,,0.00021030593505686404,True,1.6470588235294117,,0.0002334099328202573,True,1.8235294117647058,,0.0002509828935051985,True,1.9411764705882353,,0.0002758543769430418,True,2.1176470588235294,,0.00028974383552522525,True,2.235294117647059,,0.00031634340741364803,True,2.411764705882353,,0.00032802390766032015,True,2.5294117647058822,,0.00035867724769983315,True,2.7058823529411766,,0.00038483001446945164,True,2.823529411764706,,0.0004148078978427418,True,3.0,
5,0.027762554101000907,True,0.17647058823529413,,0.003463371613398716,True,0.35294117647058826,,0.0029721634562804777,True,0.47058823529411764,,0.0010418802898493496,True,0.6470588235294118,,0.0005927750238601902,True,0.7647058823529411,,0.00021816017530436213,True,0.9411764705882353,,0.0002110565434189334,True,1.0588235294117647,,0.00021037464810021807,True,1.2352941176470589,,0.00021507206573730464,True,1.3529411764705883,,0.0002231837093396034,True,1.5294117647058822,,0.0002513788432249735,True,1.6470588235294117,,0.0002803102955224865,True,1.8235294117647058,,0.0002947294205030487,True,1.9411764705882353,,0.000327061099822105,True,2.1176470588235294,,0.00034832216792818376,True,2.235294117647059,,0.00037955382973234157,True,2.411764705882353,,0.00039921970195179945,True,2.5294117647058822,,0.00042424870635739576,True,2.7058823529411766,,0.00045585853010950513,True,2.823529411764706,,0.0004984642324653586,True,3.0,
6,0.026750291899229575,True,0.17647058823529413,,0.003314942377105125,True,0.35294117647058826,,0.0027758724523409234,True,0.47058823529411764,,0.0009191522902103767,True,0.6470588235294118,,0.0005174830011944573,True,0.7647058823529411,,0.00014387301991097105,True,0.9411764705882353,,0.00014132421231886292,True,1.0588235294117647,,0.00014593030533037547,True,1.2352941176470589,,0.00014711757366768225,True,1.3529411764705883,,0.00016728210202671104,True,1.5294117647058822,,0.00019014259187682337,True,1.6470588235294117,,0.00021225899969457457,True,1.8235294117647058,,0.0002296962727844191,True,1.9411764705882353,,0.0002590755871746433,True,2.1176470588235294,,0.0002667011033930143,True,2.235294117647059,,0.0002935659074951268,True,2.411764705882353,,0.00032102222961250253,True,2.5294117647058822,,0.0003515551960515286,True,2.7058823529411766,,0.00037344804953739715,True,2.823529411764706,,0.0004239106634278822,True,3.0,
7,0.026759053376413964,True,0.17647058823529413,,0.0032306145319128303,True,0.35294117647058826,,0.002731401500477674,True,0.47058823529411764,,0.0008619363624622608,True,0.6470588235294118,,0.00045209194581404975,True,0.7647058823529411,,0.000199302313635392,True,0.9411764705882353,,0.000130883192172384,True,1.0588235294117647,,9.138656274686312e-05,True,1.2352941176470589,,0.00010343103220544445,True,1.3529411764705883,,0.00012891139855038998,True,1.5294117647058822,,0.00014839072285484622,True,1.6470588235294117,,0.00015786627073866794,True,1.8235294117647058,,0.0001841082688222898,True,1.9411764705882353,,0.00020400223274526209,True,2.1176470588235294,,0.00022364942081338346,True,2.235294117647059,,0.00024445407826761056,True,2.411764705882353,,0.00027560277803329774,True,2.5294117647058822,,0.00031143622700028343,True,2.7058823529411766,,0.00033480491625159154,True,2.823529411764706,,0.0003940893107539056,True,3.0,
8,0.03353703038076167,True,0.17647058823529413,,0.003365233042583164,True,0.35294117647058826,,0.0028651068010638915,True,0.47058823529411764,,0.0009822218636442845,True,0.6470588235294118,,0.0005940646685657465,True,0.7647058823529411,,0.00032999793487049103,True,0.9411764705882353,,0.0002529094371585404,True,1.0588235294117647,,0.00018701255235733377,True,1.2352941176470589,,0.00019774679088185008,True,1.3529411764705883,,0.00020810347573235464,True,1.5294117647058822,,0.00022476847741951665,True,1.6470588235294117,,0.0002661973866667447,True,1.8235294117647058,,0.0002725156929408719,True,1.9411764705882353,,0.000286396523168747,True,2.1176470588235294,,0.00030579562627030816,True,2.235294117647059,,0.00032897127458822445,True,2.411764705882353,,0.0003517357457908231,True,2.5294117647058822,,0.0003870443768423844,True,2.7058823529411766,,0.00040052163539549597,True,2.823529411764706,,0.0004581040932905129,True,3.0,
9,0.02767576543014868,True,0.17647058823529413,,0.007809304383851968,True,0.35294117647058826,,0.003016020484407148,True,0.47058823529411764,,0.00047745095443486104,True,0.6470588235294118,,0.0005686577203593587,True,0.7647058823529411,,0.0002693236157460627,True,0.9411764705882353,,0.00016966860360635575,True,1.0588235294117647,,9.436131078753828e-05,True,1.2352941176470589,,8.31531360752404e-05,True,1.3529411764705883,,8.862336883955499e-05,True,1.5294117647058822,,9.342057228140344e-05,True,1.6470588235294117,,0.00011070757205905718,True,1.8235294117647058,,0.0001515471313356842,True,1.9411764705882353,,0.00016681467974479365,True,2.1176470588235294,,0.00017615847882608053,True,2.235294117647059,,0.00020131224516927853,True,2.411764705882353,,0.00020801446729590333,True,2.5294117647058822,,0.00022788811206864469,True,2.7058823529411766,,0.0002681696151813064,True,2.823529411764706,,0.00034481568780310635,True,3.0,
