repetition,k_3_l2,k_3_success,k_3_factor,k_3_gw,k_5_l2,k_5_success,k_5_factor,k_5_gw,k_8_l2,k_8_success,k_8_factor,k_8_gw,k_10_l2,k_10_success,k_10_factor,k_10_gw,k_12_l2,k_12_success,k_12_factor,k_12_gw,k_15_l2,k_15_success,k_15_factor,k_15_gw,k_17_l2,k_17_success,k_17_factor,k_17_gw,k_20_l2,k_20_success,k_20_factor,k_20_gw,k_22_l2,k_22_success,k_22_factor,k_22_gw,k_24_l2,k_24_success,k_24_factor,k_24_gw,k_27_l2,k_27_success,k_27_factor,k_27_gw,k_29_l2,k_29_success,k_29_factor,k_29_gw,k_31_l2,k_31_success,k_31_factor,k_31_gw,k_34_l2,k_34_success,k_34_factor,k_34_gw,k_36_l2,k_36_success,k_36_factor,k_36_gw,k_39_l2,k_39_success,k_39_factor,k_39_gw,k_41_l2,k_41_success,k_41_factor,k_41_gw,k_43_l2,k_43_success,k_43_factor,k_43_gw,k_46_l2,k_46_success,k_46_factor,k_46_gw,k_48_l2,k_48_success,k_48_factor,k_48_gw
0,0.15957062884554576,True,0.1875,,0.10966411035903668,True,0.3125,,0.0931454040112507,True,0.5,,0.08693005209675178,True,0.625,,0.08443757570212118,True,0.75,,0.08154458469936021,True,0.9375,,0.08028122440891758,True,1.0625,,0.08028865557855433,True,1.25,,0.0794439172304782,True,1.375,,0.07907703037465122,True,1.5,,0.07852349220612104,True,1.6875,,0.07876023915771578,True,1.8125,,0.07994932567959716,True,1.9375,,0.0784976249641761,True,2.125,,0.07941081829388538,True,2.25,,0.077872342188312,True,2.4375,,0.07941697398239489,True,2.5625,,0.07999231713527999,True,2.6875,,0.08906895143154099,True,2.875,,0.08315039281209376,True,3.0,
1,0.15196678943548983,True,0.1875,,0.12209250224820069,True,0.3125,,0.09056663471392183,True,0.5,,0.08574742786780963,True,0.625,,0.08453975608385345,True,0.75,,0.08360884648010915,True,0.9375,,0.0830250256752182,True,1.0625,,0.08184894369047867,True,1.25,,0.08140877819254641,True,1.375,,0.08136504534743863,True,1.5,,0.08270992605588158,True,1.6875,,0.0827026905005666,True,1.8125,,0.08119465189027611,True,1.9375,,0.08725875401137725,True,2.125,,0.08295600479746863,True,2.25,,0.0816156488355599,True,2.4375,,0.08154883878571466,True,2.5625,,0.08269702475483033,True,2.6875,,0.08477687179316183,True,2.875,,0.08685444462242844,True,3.0,
2,0.15954319507275577,True,0.1875,,0.13015508255639535,True,0.3125,,0.09397622237953249,True,0.5,,0.08811062757788417,True,0.625,,0.08453604948257804,True,0.75,,0.08191182084637129,True,0.9375,,0.08099801747643494,True,1.0625,,0.08047938846947902,True,1.25,,0.08000107004789012,True,1.375,,0.07904844152740118,True,1.5,,0.07891277829861473,True,1.6875,,0.08144247644073846,True,1.8125,,0.07814461604300779,True,1.9375,,0.0783572464764476,True,2.125,,0.07816111016951431,True,2.25,,0.08398367951778521,True,2.4375,,0.07851824964281776,True,2.5625,,0.0766234296182935,True,2.6875,,0.07756953622178742,True,2.875,,0.07922637894380787,True,3.0,
3,0.15958078987912636,True,0.1875,,0.1260252726333383,True,0.3125,,0.09135206537059154,True,0.5,,0.08544135475943898,True,0.625,,0.08195369275768885,True,0.75,,0.07807180184964496,True,0.9375,,0.07848647593415742,True,1.0625,,0.07822475135067258,True,1.25,,0.0770856494079552,True,1.375,,0.0768012224032047,True,1.5,,0.07698066006655278,True,1.6875,,0.07732295659659283,True,1.8125,,0.07748396569804167,True,1.9375,,0.07613498784655617,True,2.125,,0.07953808448607018,True,2.25,,0.07612751921904264,True,2.4375,,0.0753426964219406,True,2.5625,,0.07645094203143096,True,2.6875,,0.07712321717866807,True,2.875,,0.07879846118645732,True,3.0,
4,0.15943188160286648,True,0.1875,,0.13462522164442395,True,0.3125,,0.09845543623263774,True,0.5,,0.09227644775240058,True,0.625,,0.08859212605328899,True,0.75,,0.08706073263594147,True,0.9375,,0.08629151884203856,True,1.0625,,0.08452113961936847,True,1.25,,0.08414608834269166,True,1.375,,0.08583087839120089,True,1.5,,0.08404356667841274,True,1.6875,,0.0846929970864586,True,1.8125,,0.08341340179457642,True,1.9375,,0.08556721755620135,True,2.125,,0.08976446863271018,True,2.25,,0.08922638557229644,True,2.4375,,0.09897466357039988,True,2.5625,,0.08843984908717255,True,2.6875,,0.0896415976401516,True,2.875,,0.08811377060066022,True,3.0,
5,0.15954398991119173,True,0.1875,,0.13075832450834518,True,0.3125,,0.0946272206100548,True,0.5,,0.08876949423662413,True,0.625,,0.085545661938237,True,0.75,,0.08430830302297725,True,0.9375,,0.08289405614949284,True,1.0625,,0.0819360678980191,True,1.25,,0.08094011470306461,True,1.375,,0.08016354385884293,True,1.5,,0.0798581255923093,True,1.6875,,0.08009531615575714,True,1.8125,,0.07972185243675231,True,1.9375,,0.08578806333231837,True,2.125,,0.07784967270840608,True,2.25,,0.07867992044927909,True,2.4375,,0.08322352043540833,True,2.5625,,0.07943997492784019,True,2.6875,,0.08233483930896932,True,2.875,,0.07975885388123441,True,3.0,
6,0.155936125417914,True,0.1875,,0.13930159421023522,True,0.3125,,0.10477397921211457,True,0.5,,0.09712301469600079,True,0.625,,0.09468978942638041,True,0.75,,0.09246336265089652,True,0.9375,,0.09054045398187478,True,1.0625,,0.08950213801496379,True,1.25,,0.08918896413135391,True,1.375,,0.08992076567284123,True,1.5,,0.09012577341993835,True,1.6875,,0.1016376870223295,True,1.8125,,0.08735241892385942,True,1.9375,,0.08894363532732635,True,2.125,,0.09093978390377411,True,2.25,,0.09384328414438764,True,2.4375,,0.09325266420315172,True,2.5625,,0.09189654195413002,True,2.6875,,0.09413173316161703,True,2.875,,0.08696884580179587,True,3.0,
7,0.159203099201402,True,0.1875,,0.13574234021803538,True,0.3125,,0.10098779627512007,True,0.5,,0.09397178080643732,True,0.625,,0.09048337095334323,True,0.75,,0.08704346090526147,True,0.9375,,0.08553416222466417,True,1.0625,,0.0858261773077002,True,1.25,,0.08613216862735668,True,1.375,,0.08558844852094306,True,1.5,,0.08686201135984345,True,1.6875,,0.0847578389924706,True,1.8125,,0.08413333069171326,True,1.9375,,0.08344749631121642,True,2.125,,0.08399147392247931,True,2.25,,0.08469522609741469,True,2.4375,,0.09107063764523833,True,2.5625,,0.08463372499817579,True,2.6875,,0.08497845798175487,True,2.875,,0.08643550687876521,True,3.0,
8,0.15960287981774451,True,0.1875,,0.1222377529860833,True,0.3125,,0.08740437076854995,True,0.5,,0.0814349810076359,True,0.625,,0.0793875928871365,True,0.75,,0.07542089084217535,True,0.9375,,0.07519369489262259,True,1.0625,,0.07468110391128312,True,1.25,,0.07385746327507015,True,1.375,,0.074508279689258,True,1.5,,0.07361479287473348,True,1.6875,,0.07422188698096827,True,1.8125,,0.07458488934545024,True,1.9375,,0.07407931981159846,True,2.125,,0.07393388875653478,True,2.25,,0.07374805563899013,True,2.4375,,0.07418954625801108,True,2.5625,,0.0753054890335802,True,2.6875,,0.07848883181444404,True,2.875,,0.07450799422308603,True,3.0,
9,0.1595649960288663,True,0.1875,,0.13151997619269698,True,0.3125,,0.09729649785600625,True,0.5,,0.09130023748819238,True,0.625,,0.08909509667148305,True,0.75,,0.08513634789688304,True,0.9375,,0.08442897981467332,True,1.0625,,0.08555081643858593,True,1.25,,0.08443267230176231,True,1.375,,0.0836987282112426,True,1.5,,0.08288528535511015,True,1.6875,,0.08369736825423779,True,1.8125,,0.08241985187506014,True,1.9375,,0.08189594947919328,True,2.125,,0.08358859779532526,True,2.25,,0.08624894430243969,True,2.4375,,0.0826449775621307,True,2.5625,,0.08360966906362391,True,2.6875,,0.0915453355077816,True,2.875,,0.08594750446526836,True,3.0,
